Id;Station;Lane;LastStop
104425;Edgecombe Road;8;Oxford City Centre
104426;Wick Close;8;Oxford City Centre
104427;Barton Village Road;8;Oxford City Centre
104428;Atkinson Close;8;Oxford City Centre
104429;Poundfield Close;8;Oxford City Centre
104430;Underhill Circus;8;Oxford City Centre
104431;Stowford Road;8;Oxford City Centre
104432;Routh Road;8;Oxford City Centre
104433;Humfrey Road;8;Oxford City Centre
104434;Claymond Road;8;Oxford City Centre
104435;Malford Road;8;Oxford City Centre
104436;Bayswater Road Church;8;Oxford City Centre
104449;Kiln Lane;8;Oxford City Centre
104450;Lewis Close;8;Oxford City Centre
104451;Downside Road PO;8;Oxford City Centre
104452;Stanway Road;8;Oxford City Centre
104453;Collinwood Road;8;Oxford City Centre
104454;A40 Risinghurst Turn;8;Oxford City Centre
104437;Green Road Roundabout;8;Oxford City Centre
104438;Gladstone Road;8;Oxford City Centre
104439;Wharton Road;8;Oxford City Centre
104440;Headington Shops;8;Oxford City Centre
104441;Sandfield Road;8;Oxford City Centre
104442;Headington School;8;Oxford City Centre
104443;Brookes University;8;Oxford City Centre
104444;Glebe Street;8;Oxford City Centre
104445;St Clements Street;8;Oxford City Centre
104446;Queens Lane;8;Oxford City Centre
104447;Carfax;8;Oxford City Centre
104448;Speedwell Street;8;Oxford City Centre
146583;St Aldates;8;Oxford City Centre
102868;Queens Lane;8;Oxford City Centre
102869;St Clements Street;8;Oxford City Centre
100299;South Park;8;Oxford City Centre
100300;Brookes University;8;Oxford City Centre
100301;Headington School;8;Oxford City Centre
102873;Sandfield Road;8;Oxford City Centre
102874;Headington Shops;8;Oxford City Centre
102875;Wharton Road;8;Oxford City Centre
102876;Gladstone Road;8;Oxford City Centre
100306;Green Road Roundabout;8;Oxford City Centre
103085;Harcourt Hill Campus;U1;Wheatley Campus
103086;Raleigh Park Road;U1;Wheatley Campus
103087;Yarnells Hill;U1;Wheatley Campus
103088;Westminster Way;U1;Wheatley Campus
103089;Minns Industrial Estate;U1;Wheatley Campus
103090;Seacourt Park and Ride;U1;Wheatley Campus
103091;Lamarsh Road;U1;Wheatley Campus
103092;Binsey Lane;U1;Wheatley Campus
103093;Osney Island;U1;Wheatley Campus
103094;Frideswide Square;U1;Wheatley Campus
103095;New Road;U1;Wheatley Campus
103096;Turl Street;U1;Wheatley Campus
103097;Queens Lane;U1;Wheatley Campus
103098;St Clements Street;U1;Wheatley Campus
103099;South Park;U1;Wheatley Campus
103100;Brookes University;U1;Wheatley Campus
103101;Headington School;U1;Wheatley Campus
103102;Sandfield Road;U1;Wheatley Campus
103103;Headington Shops;U1;Wheatley Campus
103104;Wharton Road;U1;Wheatley Campus
103105;Gladstone Road;U1;Wheatley Campus
103106;Green Road Roundabout;U1;Wheatley Campus
103107;A40 Risinghurst Turn;U1;Wheatley Campus
103108;Thornhill Park and Ride;U1;Wheatley Campus
103109;Forest Hill Turn;U1;Wheatley Campus
103110;Holton Turn;U1;Wheatley Campus
103111;The Glebe;U1;Wheatley Campus
103112;Tyndale;U1;Wheatley Campus
103113;Park Hill Roundabout;U1;Wheatley Campus
103114;St Marys Church;U1;Wheatley Campus
103115;Friday Lane;U1;Wheatley Campus
103116;Kings Arms PH;U1;Wheatley Campus
103118;Jack Straws Lane;U1;Wheatley Campus
103119;Edgeway Road;U1;Wheatley Campus
103120;Clive Booth Hall;U1;Wheatley Campus
103121;Kings Mill Lane;U1;Wheatley Campus
129676;Turl Street;U1;Wheatley
129678;St Clements Street;U1;Wheatley
129679;South Park;U1;Wheatley
129680;Brookes University;U1;Wheatley
129681;Headington School;U1;Wheatley
129682;Sandfield Road;U1;Wheatley
129683;Headington Shops;U1;Wheatley
129684;Wharton Road;U1;Wheatley
129685;Gladstone Road;U1;Wheatley
129686;Green Road Roundabout;U1;Wheatley
129687;A40 Risinghurst Turn;U1;Wheatley
129688;Thornhill Park and Ride;U1;Wheatley
129689;Forest Hill Turn;U1;Wheatley
129690;Holton Turn;U1;Wheatley
129691;The Glebe;U1;Wheatley
129692;Tyndale;U1;Wheatley
129693;Harcourt Hill Campus;U1;Wheatley
129694;Raleigh Park Road;U1;Wheatley
129695;Yarnells Hill;U1;Wheatley
129696;Westminster Way;U1;Wheatley
129697;Minns Industrial Estate;U1;Wheatley
129698;Seacourt Park and Ride;U1;Wheatley
129699;Lamarsh Road;U1;Wheatley
129700;Binsey Lane;U1;Wheatley
129701;Osney Island;U1;Wheatley
129702;Frideswide Square;U1;Wheatley
129703;New Road;U1;Wheatley
129704;Jack Straws Lane;U1;Wheatley
129705;Edgeway Road;U1;Wheatley
129706;Clive Booth Hall;U1;Wheatley
129707;Kings Mill Lane;U1;Wheatley
129708;Park Hill Roundabout;U1;Wheatley
129709;St Marys Church;U1;Wheatley
129710;Friday Lane;U1;Wheatley
129711;Kings Arms PH;U1;Wheatley
129677;Queens Lane;U1;Wheatley
103055;Wheatley Campus;U1;Harcourt Hill Campus
103056;Tyndale;U1;Harcourt Hill Campus
103057;Kings Arms PH;U1;Harcourt Hill Campus
103058;Friday Lane;U1;Harcourt Hill Campus
103059;St Marys Church;U1;Harcourt Hill Campus
103060;Park Hill Roundabout;U1;Harcourt Hill Campus
103061;Forest Hill Turn;U1;Harcourt Hill Campus
103062;Thornhill Park and Ride;U1;Harcourt Hill Campus
103063;A40 Risinghurst Turn;U1;Harcourt Hill Campus
103064;Green Road Roundabout;U1;Harcourt Hill Campus
103065;Gladstone Road;U1;Harcourt Hill Campus
103066;Wharton Road;U1;Harcourt Hill Campus
103067;Headington Shops;U1;Harcourt Hill Campus
103068;Sandfield Road;U1;Harcourt Hill Campus
103069;Headington School;U1;Harcourt Hill Campus
103070;Brookes University;U1;Harcourt Hill Campus
103071;Glebe Street;U1;Harcourt Hill Campus
103072;St Clements Street;U1;Harcourt Hill Campus
103073;Queens Lane;U1;Harcourt Hill Campus
103074;Carfax;U1;Harcourt Hill Campus
103075;Speedwell Street;U1;Harcourt Hill Campus
103076;Castle Street;U1;Harcourt Hill Campus
103077;Frideswide Square;U1;Harcourt Hill Campus
103078;Osney Island;U1;Harcourt Hill Campus
103079;Binsey Lane;U1;Harcourt Hill Campus
103080;Lamarsh Road;U1;Harcourt Hill Campus
103081;Seacourt Park and Ride;U1;Harcourt Hill Campus
103082;Minns Industrial Estate;U1;Harcourt Hill Campus
103083;Westminster Way;U1;Harcourt Hill Campus
103084;Raleigh Park Road;U1;Harcourt Hill Campus
103117;The Glebe;U1;Harcourt Hill Campus
129645;Headington Shops;U1;Harcourt Hill
129646;Sandfield Road;U1;Harcourt Hill
129649;Glebe Street;U1;Harcourt Hill
129650;St Clements Street;U1;Harcourt Hill
129653;Speedwell Street;U1;Harcourt Hill
129654;Castle Street;U1;Harcourt Hill
129655;Frideswide Square;U1;Harcourt Hill
129656;Osney Island;U1;Harcourt Hill
129657;Binsey Lane;U1;Harcourt Hill
129658;Lamarsh Road;U1;Harcourt Hill
129659;Seacourt Park and Ride;U1;Harcourt Hill
129660;Minns Industrial Estate;U1;Harcourt Hill
129661;Westminster Way;U1;Harcourt Hill
129662;Raleigh Park Road;U1;Harcourt Hill
129663;Wheatley Campus;U1;Harcourt Hill
129664;Tyndale;U1;Harcourt Hill
129665;Kings Arms PH;U1;Harcourt Hill
129666;Friday Lane;U1;Harcourt Hill
129667;St Marys Church;U1;Harcourt Hill
129668;Park Hill Roundabout;U1;Harcourt Hill
129669;Forest Hill Turn;U1;Harcourt Hill
129670;Thornhill Park and Ride;U1;Harcourt Hill
129671;A40 Risinghurst Turn;U1;Harcourt Hill
129672;Green Road Roundabout;U1;Harcourt Hill
129673;Gladstone Road;U1;Harcourt Hill
129674;Wharton Road;U1;Harcourt Hill
129675;The Glebe;U1;Harcourt Hill
129647;Headington School;U1;Harcourt Hill
129648;Brookes University;U1;Harcourt Hill
129651;Queens Lane;U1;Harcourt Hill
129652;Carfax;U1;Harcourt Hill
103126;Harcourt Hill Campus;U1X;Wheatley Campus
103127;Frideswide Square;U1X;Wheatley Campus
103128;Turl Street;U1X;Wheatley Campus
103129;Brookes University;U1X;Wheatley Campus
103130;Headington Shops;U1X;Wheatley Campus
103122;Headington Shops;U1X;Wheatley Campus
103123;Brookes University;U1X;Wheatley Campus
103124;Carfax;U1X;Wheatley Campus
103125;Frideswide Square;U1X;Wheatley Campus
103131;Wheatley Campus;U1X;Wheatley Campus
129712;Speedwell Street;U5;Marston
129713;St Aldates;U5;Marston
129786;The Plain;U5;Marston
129787;James Street east;U5;Marston
129788;Manzil Way;U5;Marston
129789;Magdalen Road east;U5;Marston
129790;Howard Street east;U5;Marston
129791;Shelley Road;U5;Marston
129792;Marsh Road;U5;Marston
129793;Clive Road;U5;Marston
129755;The Original Swan PH;U5;Marston
129756;Fern Hill Road;U5;Marston
129757;Crescent Hall;U5;Marston
129758;Barracks Lane;U5;Marston
129759;Paul Kent Hall;U5;Marston
129760;Corner House;U5;Marston
129761;Cinnaminta Road;U5;Marston
129762;Peat Moors;U5;Marston
129763;Warren Crescent;U5;Marston
129764;Goslyn Close;U5;Marston
129765;Girdlestone Close;U5;Marston
129766;Lime Walk;U5;Marston
129767;Valentia Road;U5;Marston
129768;Gipsy Lane Campus;U5;Marston
129795;Cherwell Street;U5;Marston
129796;Clive Booth Hall;U5;Marston
129797;The Somerset PH;U5;Marston
129798;Edgeway Road;U5;Marston
100812;Speedwell Street S2;U5;Marston
129781;Jack Straws Lane;U5;Marston
129782;Crotch Crescent;U5;Marston
129783;Copse Lane;U5;Marston
129784;Bowness Avenue;U5;Marston
129785;Snowdon Mede;U5;City
129716;Fortnam Close;U5;City
129717;Headington School;U5;City
129718;Gipsy Lane Campus;U5;City
129719;Valentia Road;U5;City
129720;Lime Walk;U5;City
129721;Girdlestone Close;U5;City
129722;Goslyn Close;U5;City
129723;Warren Crescent;U5;City
129724;Peat Moors;U5;City
129725;Cinnaminta Road;U5;City
129726;Corner House;U5;City
129727;Paul Kent Hall;U5;City
129728;Barracks Lane;U5;City
129729;Crescent Hall;U5;City
129730;Fern Hill Road;U5;City
129731;The Original Swan PH;U5;City
129772;Clive Road;U5;City
129773;Marsh Road;U5;City
129774;Shelley Road;U5;City
129775;Howard Street east;U5;City
129776;Magdalen Road east;U5;City
129777;Manzil Way;U5;City
129778;James Street east;U5;City
129779;Stockmore Street;U5;City
129780;The Plain;U5;City
129799;The Original Swan PH;U5;City
